,long_name,short_name,short_loc,league,
CFR Cluj,CFR Cluj,CFR Cluj,,,UEFA Champions
Dynamo Kiev,Dynamo Kiev,Dynamo Kiev,,,UEFA Champions
FC Basel,FC Basel,FC Basel,,,UEFA Champions
Bayern Munich,Bayern Munich,Bayern Munich,,,UEFA Champions
FC Porto,FC Porto,FC Porto,,,UEFA Champions
Fenerbahce,Fenerbahce,Fenerbahce,,,UEFA Champions
Girdonins de Bordeau,Girdonins de Bordeau,Girdonins de Bordeau,,,UEFA Champions
Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,,,UEFA Champions
Panathinaikos,Panathinaikos,Panathinaikos,,,UEFA Champions
Shakhtar Donetsk,Shakhtar Donetsk,Shakhtar Donetsk,,,UEFA Champions
Sporting Portugal,Sporting Portugal,Sporting Portugal,,,UEFA Champions
Steaua Bucharest,Steaua Bucharest,Steaua Bucharest,,,UEFA Champions
Numancia,Numancia,Numancia,,,SEGUNDA 
Deportivo La Coruña,Deportivo La Coruña,Deportivo La Coruña,,,SEGUNDA 
Hercules CF,Hercules CF,Hercules CF,,,SEGUNDA 
Mallorca,Mallorca,Mallorca,,,SEGUNDA 
Racing Santander,Racing Santander,Racing Santander,,,SEGUNDA 
Real Zaragoza,Real Zaragoza,Real Zaragoza,,,SEGUNDA 
Recreativo Huelva,Recreativo Huelva,Recreativo Huelva,,,SEGUNDA 
Sporting Gijon,Sporting Gijon,Sporting Gijon,,,SEGUNDA 
Almerica,Almerica,Almerica,,,SEGUNDA 
Xerez CD,Xerez CD,Xerez CD,,,SEGUNDA 
Aberdeen,Aberdeen,Aberdeen,,,Scottish Premier
Celtic,Celtic,Celtic,,,Scottish Premier
Dundee United,Dundee United,Dundee United,,,Scottish Premier
Hearts,Hearts,Hearts,,,Scottish Premier
Hibernian,Hibernian,Hibernian,,,Scottish Premier
Inverness CT,Inverness CT,Inverness CT,,,Scottish Premier
Kilmanock,Kilmanock,Kilmanock,,,Scottish Premier
Motherwell,Motherwell,Motherwell,,,Scottish Premier
Patick Thistle,Patick Thistle,Patick Thistle,,,Scottish Premier
Ross County,Ross County,Ross County,,,Scottish Premier
