,long_name,short_name,short_loc,league,
 Vitesse Arnhem, Vitesse Arnhem, Vitesse Arnhem,,,EREDIVISIE
 Zwolle, Zwolle, Zwolle,,,EREDIVISIE
 Bayer Leverkusen, Bayer Leverkusen, Bayer Leverkusen,,,BUNDESLIGA
 Dortmund, Dortmund, Dortmund,,,BUNDESLIGA
 Monchengladbach, Monchengladbach, Monchengladbach,,,BUNDESLIGA
 Eintracht Braunschweig, Eintracht Braunschweig,,,,BUNDESLIGA
 Eintracht Frankfurt, Eintracht Frankfurt, Eintracht Frankfurt,,,BUNDESLIGA
 FC Augsburg, FC Augsburg, FC Augsburg,,,BUNDESLIGA
 Bayern Munich, Bayern Munich, Bayern Munich,,,BUNDESLIGA
 FC Nürnberg, FC Nürnberg, FC Nürnberg,,,BUNDESLIGA
 FSV Mainz 05, FSV Mainz 05, FSV Mainz 05,,,BUNDESLIGA
 Hamburg SV, Hamburg SV, Hamburg SV,,,BUNDESLIGA
 Hannover 96, Hannover 96, Hannover 96,,,BUNDESLIGA
 Hertha BSC, Hertha BSC, Hertha BSC,,,BUNDESLIGA
 SC Freiburg, SC Freiburg, SC Freiburg,,,BUNDESLIGA
 Schalke 04, Schalke 04, Schalke 04,,,BUNDESLIGA
 TSG Hoffenheim, TSG Hoffenheim, TSG Hoffenheim,,,BUNDESLIGA
 VfB Stuttgart, VfB Stuttgart, VfB Stuttgart,,,BUNDESLIGA
 VfL Wolfsburg, VfL Wolfsburg, VfL Wolfsburg,,,BUNDESLIGA
 Werder Bremen, Werder Bremen, Werder Bremen,,,BUNDESLIGA
 Barnsley, Barnsley, Barnsley,,,League Champion
 Birmingham, Birmingham, Birmingham,,,League Champion
Team Stream,Team Stream,Team Stream,,,League Champion
 Blackburn, Blackburn, Blackburn,,,League Champion
Team Stream,Team Stream,Team Stream,,,League Champion
 Blackpool, Blackpool, Blackpool,,,League Champion
 Bolton, Bolton, Bolton,,,League Champion
Team Stream,Team Stream,Team Stream,,,League Champion
 Bournemouth, Bournemouth, Bournemouth,,,League Champion
 Brighton & Hove Albion, Brighton & Hove Albion,,,,League Champion
 Burnley, Burnley, Burnley,,,League Champion
 Charlton Athletic, Charlton Athletic, Charlton Athletic,,,League Champion
 Derby County, Derby County, Derby County,,,League Champion
 Doncaster Rovers, Doncaster Rovers, Doncaster Rovers,,,League Champion
 Huddersfield Town, Huddersfield Town, Huddersfield Town,,,League Champion
 Ipswich Town, Ipswich Town, Ipswich Town,,,League Champion
 Leeds United, Leeds United, Leeds United,,,League Champion
 Leicester City, Leicester City, Leicester City,,,League Champion
 Middlesbrough, Middlesbrough, Middlesbrough,,,League Champion
 Millwall, Millwall, Millwall,,,League Champion
 Nottingham Forest, Nottingham Forest, Nottingham Forest,,,League Champion
 Queens Park Rangers, Queens Park Rangers,,,,League Champion
 Reading, Reading, Reading,,,League Champion
 Sheffield Wednesday, Sheffield Wednesday,,,,League Champion
 Watford, Watford, Watford,,,League Champion
 Wigan Athletic, Wigan Athletic, Wigan Athletic,,,League Champion
 Yeovil Town, Yeovil Town, Yeovil Town,,,League Champion
 Adelaide United, Adelaide United, Adelaide United,ADU,,Austrlian
 Brisbane Roar, Brisbane Roar, Brisbane Roar,BNR,,Austrlian
 Central Coast Mariners, Central Coast Mariners,,CCM,,Austrlian
 Melbourne Heart, Melbourne Heart, Melbourne Heart,MBC,,Austrlian
 Melbourne Victory, Melbourne Victory, Melbourne Victory,MBV,,Austrlian
 Newcastle Jets, Newcastle Jets, Newcastle Jets,NUJ,,Austrlian
 Perth Glory, Perth Glory, Perth Glory,PTH,,Austrlian
 Sydney FC, Sydney FC, Sydney FC,SFC,,Austrlian
 Wellington Phoenix, Wellington Phoenix, Wellington Phoenix,WPX,,Austrlian
 WS Wanderers, WS Wanderers, WS Wanderers,WSW,,Austrlian
